team_name,winning_times,count_matches,participations,win_counts,lose_counts,draws,scored,received,yellow_cards,red_cards
Argentina,2,81,17,47,24,10,137,93,118,5
Brazil,5,109,21,76,19,14,229,105,97,5
England,1,69,15,30,22,17,91,64,57,3
France,2,66,15,36,21,9,120,77,70,5
Germany,4,115,20,73,24,18,231,130,123,3
Italy,4,83,18,46,20,17,128,77,93,5
Spain,1,63,15,31,21,11,99,72,65,1
Uruguay,2,56,13,25,20,11,87,74,64,4
Algeria,0,13,4,3,7,3,13,19,17,0
Angola,0,3,1,0,1,2,1,2,11,0
Australia,0,16,5,2,10,4,13,31,32,3
Austria,0,29,7,12,13,4,43,47,23,1
Belgium,0,48,13,21,19,8,68,72,50,2
Bolivia,0,6,3,0,5,1,1,20,8,1
Bosnia and Herzegovina,0,3,1,1,2,0,4,4,3,0
Bulgaria,0,26,7,4,15,7,22,53,37,0
Cameroon,0,23,7,4,12,7,18,43,48,7
Canada,0,3,1,0,3,0,0,5,3,0
Chile,0,33,9,11,16,6,40,49,44,1
China,0,3,1,0,3,0,0,9,5,1
Colombia,0,22,6,9,11,2,32,30,31,1
Costa Rica,0,18,5,6,9,3,19,28,37,0
Croatia,0,23,5,13,8,2,35,26,52,2
Cuba,0,3,1,1,1,1,5,12,0,0
Czech Republic,0,3,1,1,2,0,3,4,7,1
Czechoslovakia,0,30,8,11,14,5,44,45,18,1
Denmark,0,20,5,9,7,4,30,26,38,2
Dutch East Indies,0,1,1,0,1,0,0,6,0,0
Ecuador,0,10,3,4,5,1,10,11,23,1
Egypt,0,7,3,0,5,2,5,12,9,0
El Salvador,0,6,2,0,6,0,1,22,9,0
Ghana,0,12,3,4,6,2,13,16,35,0
Greece,0,10,3,2,7,1,5,20,21,0
Haiti,0,3,1,0,3,0,2,14,3,0
Honduras,0,9,3,0,6,3,3,14,15,1
Hungary,0,32,9,15,14,3,87,57,6,2
Iceland,0,3,1,0,2,1,2,5,3,0
Iran,0,15,5,2,9,4,9,24,22,0
Iraq,0,3,1,0,3,0,1,4,9,1
Israel,0,3,1,0,1,2,1,3,4,0
Ivory Coast,0,9,3,3,5,1,13,14,21,0
Jamaica,0,3,1,1,2,0,3,9,6,0
Japan,0,21,6,5,12,4,20,29,36,0
Kuwait,0,3,1,0,2,1,2,6,3,0
Mexico,0,57,16,16,29,12,60,98,82,3
Morocco,0,16,5,2,9,5,14,22,27,0
Netherlands,0,50,10,28,13,9,86,48,98,3
New Zealand,0,6,2,0,3,3,4,14,6,0
Nigeria,0,21,6,6,12,3,23,30,31,1
North Korea,0,7,2,1,5,1,6,21,2,0
Northern Ireland,0,13,3,3,5,5,13,23,9,1
Norway,0,8,3,2,3,3,7,8,13,0
Panama,0,3,1,0,3,0,2,11,11,0
Paraguay,0,27,8,8,10,9,30,38,41,1
Peru,0,18,5,5,10,3,21,33,10,0
Poland,0,34,8,16,13,5,46,45,45,0
Portugal,0,30,7,15,10,5,49,35,51,3
Republic of Ireland,0,13,3,3,4,6,10,10,16,0
Romania,0,21,7,8,10,3,30,32,32,1
Russia,0,14,4,5,7,2,24,20,30,0
Saudi Arabia,0,16,5,3,11,2,11,39,23,1
Scotland,0,23,8,4,12,7,25,41,17,1
Senegal,0,8,2,3,2,3,11,10,20,1
Serbia,0,6,2,2,4,0,4,7,19,0
Serbia and Montenegro,0,3,1,0,3,0,2,10,12,1
Slovakia,0,4,1,1,2,1,5,7,11,0
Slovenia,0,6,2,1,4,1,5,10,19,1
South Africa,0,9,3,2,3,4,11,16,21,2
South Korea,0,34,10,7,19,8,34,70,73,1
Soviet Union,0,31,7,15,10,6,53,34,17,1
Sweden,0,51,12,20,19,12,80,73,51,1
Switzerland,0,37,11,12,18,7,50,64,40,2
Togo,0,3,1,0,3,0,1,6,10,0
Trinidad and Tobago,0,3,1,0,2,1,0,4,10,0
Tunisia,0,15,5,2,9,4,13,25,34,0
Turkey,0,10,2,5,4,1,20,17,19,1
Ukraine,0,5,1,3,2,0,5,7,12,1
United Arab Emirates,0,3,1,0,3,0,2,11,7,0
United States,0,33,10,8,19,6,37,62,52,2
Wales,0,5,1,1,1,3,4,4,0,0
Yugoslavia,0,37,9,16,14,7,60,46,29,0
Zaire,0,3,1,0,3,0,0,14,2,1
